,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_total
Q13_1,-0.05105876415967186,-0.19650009703710886,-0.14384585527480326,-0.19519058235781828,-0.26628360815331903,0.06840336341019607,-0.13399390298598546,-0.39299574934494214,-0.12044633622822956,-0.06846531968814547,-0.4116726742259049,-0.18027756377319948,-0.1358359187214462,-0.16794965623845876,-0.1866469423862879,-0.3998161659005563,-0.21109734440724112,0.1449836180386288,0.08378674255810445,0.07351441351783686,0.06841879211247763,-0.30603713506241886,-0.4687886960421177,-0.18232901453221576,-0.17592220383225454,0.0809526142810615
Q13_2,-0.19560768945587212,-0.43312550659068466,-0.14719741882101292,-0.3654986136008106,-0.450813492606229,-0.10280410439471643,-0.33708921343176546,-0.47786629291138916,-0.31006133284056814,-0.13842176108403548,-0.4145143544144875,-0.23255432599638284,-0.3247281539589603,-0.3064076010871184,-0.17560423837646305,-0.5868131597685843,-0.34932379834583777,-0.05408729438271963,-0.16627500548419094,-0.023843543673934903,-0.11686917973706246,-0.5987553013680553,-0.5041118621933828,-0.25903271889957685,-0.3296226937819338,0.05845638165689217
Q13_3,-0.2014220973631717,-0.0597930753884326,0.045209355089050836,-0.22726046402493613,-0.23340641059727563,-0.042751199722376204,-0.2371246828109108,-0.3783712263028296,-0.05696872918958851,-0.1575521978122205,-0.30629464021414277,-0.15391554247804237,-0.1064520513772854,-0.3050450683501745,-0.1549511304434571,-0.3704595908020466,-0.266899109809134,0.06517002029250608,-0.16029821513149517,-0.037570496852539506,-0.07386568711846851,-0.216498701599164,-0.21189332095445676,-0.12523782568358016,-0.10946797275774171,-0.13294271558734827
Q13_4,-0.2911665949249793,-0.5855305459522648,-0.005657190458230078,-0.46428375972386376,-0.5621218326995453,-0.12590783242337253,-0.16220375351806487,-0.3701797511275662,0.037221875023909945,-0.15125332808988493,-0.16103757295473406,-0.12533941833485449,-0.10354361416608975,-0.40228445149750336,-0.15539840875494784,-0.2511531947999515,-0.2362497692874473,0.05684766496238576,-0.08184475910711342,0.0041618371135495385,-0.08246701978680929,-0.12593349109875332,-0.24939567378786204,-0.3814389308448975,-0.5586679359616593,0.12018236990227629
Q13_5,-0.2112750122705314,-0.3801497427859606,-0.01366605147603724,-0.3983672461364318,-0.29420214345889034,-0.12117229043094428,-0.19653255903297095,-0.42294750020741045,-0.2904327610748841,-0.1637091018140119,-0.4673778362622028,-0.23526482197096188,-0.19652717277414702,-0.46321075087777264,-0.47382634425136844,-0.4008589435170565,-0.2835952614066411,0.05027794151160671,-0.17707338366532557,-0.1752609703282844,0.009092412093166333,-0.27463061749956774,-0.14762212450916576,-0.4668746473072943,-0.3204693702742129,0.15181399864532877
Q13_6,-0.33445269666175587,-0.40027797544596266,-0.16550436582605757,-0.3385957182342057,-0.31216579391035554,-0.08310276287930587,-0.386093097977487,-0.37770902414253155,-0.20684983004088028,-0.13689641954834847,-0.26316035352105727,-0.2021905731379272,-0.49617639525172724,-0.39888196123742253,-0.2546129046998682,-0.36621891588166244,-0.24655643388437715,0.0618974606581837,-0.23163811216118793,-0.024579451973168,-0.1193242693252299,-0.2427741916997584,-0.32203869396174367,-0.17646774170934434,-0.4547172287216095,0.1964197036765321
Q13_7,-0.4119298008089215,-0.34995899158336985,-0.08031713670217623,-0.3004890891955046,-0.2583914367417221,0.09881279213270619,-0.1822644753731534,-0.45083802896923497,0.009665603562437296,-0.2360537926719794,-0.29912265146930617,-0.36552057871369936,-0.19322948355974937,-0.09749774946420851,-0.2884970567950326,-0.3227202049654673,-0.28449528786509126,0.2277285014381574,-0.0372161463782394,-0.13297808797229765,-0.2269129449116962,-0.3204529630796634,-0.48235997379390305,-0.21680207859783152,-0.43376380861785435,0.1410174296419549
Q13_8,-0.42694216736323476,-0.24893842407923053,0.02606316772261919,-0.4537975224211192,-0.36845681390413754,0.08122141591986383,-0.14272299013082615,-0.5087434900655236,-0.1712726211855122,-0.260746368249379,-0.34408462323359224,-0.23270810335587838,-0.3676306045729955,-0.31800895653555644,-0.13068592057761735,-0.4727637660598515,-0.37687220699240287,0.1900843405920597,-0.23129725034832302,-0.06899879480360388,0.0024476889062123876,-0.245808445110731,-0.41198956156997385,-0.16798038401177876,-0.21854334588326113,0.015099709710454899
Q13_9,-0.4992308082210311,-0.512483187086447,-0.08495501381138931,-0.4977178940744932,-0.49091469525944587,-0.0956805773340929,-0.28153378313861954,-0.4520980483571388,-0.13498567926390498,-0.3355094744713412,-0.3244720287124678,-0.27116611567608695,-0.3878431748972246,-0.40663362712594153,-0.344288226112926,-0.3888480521837104,-0.3642073902281668,0.0065125277710718155,-0.1258397462486266,-0.10051916840902399,-0.13412423051233627,-0.3040734832919966,-0.3200296237626051,-0.14841032303363494,-0.3597371894099924,0.04569082548873156
Q13_10,-0.32524544272565276,-0.1820779410334988,-0.202736373523728,-0.43717345969296245,-0.4016659528331036,-0.08919532495708778,-0.2694175726097728,-0.42447126140132985,-0.3218974529174058,-0.3579145664532707,-0.4245964846895655,-0.12948485630223747,-0.3613256379054523,-0.47503926029101246,-0.21444827595244778,-0.47152712082969495,-0.34346105006620126,-0.008580118152472562,-0.08557250996811155,0.07655069334404835,-0.28897962558301726,-0.4370317622435673,-0.40002228839231707,-0.3378461537870854,-0.2585479842310746,0.10619403546317133
Q13_11,0.0021411754511223304,-0.023917230155372993,-0.1650418389966748,0.03060508594812888,0.03857620488470006,0.16959098365666056,0.03818628341598239,-0.2385816713648504,0.036701856148522935,-0.06157855530745103,-0.3129411691540925,-0.018962558095634557,-0.09379920592167199,-0.11816296503143975,-0.049914845110893856,-0.22638087735149975,-0.009843401759192008,0.2508547033479357,0.19874868427498962,0.03394745776887066,0.0024141853248028796,-0.017858457058049147,-0.1291357248025364,-0.190783506622067,-0.22832808997029969,0.051500339557226354
Q13_12,-0.02403219265729797,-0.19133784124298445,-0.09534266251322984,-0.19246847386634777,-0.15337540198985009,-0.22449226444347634,-0.1490298089429809,-0.2797428546458347,-0.25540292764523076,-0.19433051858411832,-0.2338046366247262,-0.0756787793800874,-0.06747529943851482,-0.17723211900507496,0.04786846545715539,-0.2069715223315125,-0.38041896030995764,-0.0678552445524497,-0.09059470010622668,0.012105957923442514,-0.06905760780006259,-0.21323562627856174,-0.04309434358710981,-0.04280571445341032,-0.206790299281015,-0.20491260201590752
Q13_13,-0.12789872050480777,-0.4092645934814874,-0.15037076250290426,-0.2746852004557689,-0.5274866329330052,-0.13653987435218062,-0.2982663649945992,-0.20177571912245873,-0.3629415040221092,0.11401347067295672,-0.02260496465693459,-0.23821530630160664,-0.4422499680138659,-0.32198164781234,-0.15977717011735815,-0.3575843696460663,-0.27418196652006926,0.022396519552674146,0.11150310246257364,0.02663805728433426,-0.23849083638111052,-0.5433220169714084,-0.3486355364972894,-0.35244386395370714,-0.3087345184488519,0.13145166900020386
Q13_14,-0.34290990228545515,-0.22300160783883108,-0.0633812807654762,-0.3240172667937305,-0.3318923972571621,-0.0172984188962716,-0.29253420225557036,-0.3966623623426896,-0.23568553022636418,-0.21156360100213867,-0.20808128460533587,-0.1704417726908053,-0.3230348030655316,-0.2864070903876455,-0.10643468073736802,-0.38790276946876995,-0.22714249272819745,0.19304608955593397,-0.06411179310985059,-0.02287095778682182,0.05007572724727806,-0.33948243114502624,-0.3516699900680329,-0.1765707485627806,-0.3283680366646346,-0.05584690970857721
Q13_total,-0.37792131982189425,-0.4478410534868753,-0.13855884366229007,-0.47564609981232936,-0.5137479631739865,-0.04645732269150275,-0.3190438907303476,-0.5819730823091753,-0.2564928120366347,-0.2578900958264045,-0.44972864853344907,-0.2755743007529819,-0.3897843102716956,-0.4589852998690108,-0.28987204264273,-0.5773152320434679,-0.40534891990577304,0.13317816700888613,-0.10521305111800883,-0.03265439740160924,-0.1298127763661756,-0.474024287687231,-0.5010239592648966,-0.3547405597813136,-0.465055629658681,0.08557072244164526
